,Genes
0,TMSB4X
1,SFTPB
2,CD74
3,VIM
4,S100A6
5,A2M
6,TMSB10
7,FN1
8,SAT1
9,FTH1
10,B2M
11,SFTPA1
12,OAZ1
13,COL3A1
14,MCL1
15,FTL
16,LYZ
17,SPARC
18,MGP
19,ACTB
20,APOE
21,MT-CO3
22,CTSB
23,APLP2
24,MT-ND4L
25,MUC1
26,SELENOW
27,PSAP
28,COL1A2
29,IGFBP7
30,ANXA2
31,AHNAK
32,MYL6
33,CST3
34,LGALS3BP
35,DCN
36,UBA52
37,BRI3
38,LMNA
39,NPC2
40,DUSP1
41,RHOB
42,EPAS1
43,PIGR
44,CCNL2
45,C3
46,MT-ND4
47,CTSZ
48,SLC34A2
49,MT-CO2
50,GPX4
51,MT-ND6
52,SQSTM1
53,WFDC2
54,GSTP1
55,CD9
56,FOS
57,PFN1
58,ZFP36L1
59,RNASE1
60,LUM
61,GLUL
62,HNRNPA2B1
63,CCNI
64,HSPB1
65,MT-CYB
66,JUN
67,CEBPD
68,CIRBP
69,DDX5
70,APP
71,COL1A1
72,CSRP1
73,ASPH
74,TXNIP
75,RACK1
76,SERF2
77,CD44
78,S100A10
79,SELENOP
80,JUND
81,TIMP3
82,LGALS1
83,MYL9
84,TPM1
85,XBP1
86,CAPN2
87,ZFP36
88,TIMP1
89,TAPBP
90,SOD2
91,LGALS3
92,CD55
93,CTNND1
94,ADAR
95,CD63
96,ANXA11
97,EZR
98,TAGLN
99,LAMP1
100,BGN
101,ARRDC3
102,COL6A3
103,AHR
104,WSB1
105,SYNGR2
106,CFLAR
107,PRKAR1A
108,CAST
109,CNN2
110,STOM
111,TIMP2
112,PTGDS
113,TSPAN3
114,HSP90AA1
115,TGFBR2
116,IL32
117,JUNB
118,HNRNPH3
119,MACF1
120,AQP1
121,ARHGDIB
122,LPCAT1
123,IFI30
124,YBX3
125,CFL1
126,OGT
127,PSME1
128,CNN3
129,GUK1
130,VAMP8
131,CLU
132,VMP1
133,CRIP1
134,SERPINA1
135,CTSH
136,CALD1
137,PLXNB2
138,COL6A2
139,GRN
140,CD47
141,SPINT2
142,SH3BGRL3
143,LITAF
144,KRT8
145,SYNE2
146,EEF2
147,CRTAP
148,ANXA1
149,ENO1
150,AEBP1
151,PECAM1
152,S100A4
153,VEGFA
154,COL4A2
155,MMP2
156,LTA4H
157,SERPING1
158,TOMM7
159,COL6A1
160,HNRNPA3
161,DSTN
162,CTDSP2
163,TRAM1
164,KLF6
165,PNRC1
166,OGA
167,BTG1
168,SDC4
169,NUPR1
170,IGFBP4
171,EGR1
172,HSPA8
173,MAT2A
174,LUC7L3
175,RHOA
176,CTTN
177,TM4SF1
178,TBC1D9B
179,TAGLN2
180,NAPSA
181,ANXA5
182,RSRP1
183,MAGED2
184,C1S
185,SPTAN1
186,MYH9
187,LENG8
188,ATN1
189,EIF4A1
190,MBNL1
191,GSN
192,S100A11
193,SRGN
194,ATP1B1
195,WNK1
196,BRD2
197,ACTG1
198,C12orf57
199,CTSD
200,BHLHE40
201,FLNA
202,NDUFA4
203,LTBP3
204,ELF3
205,ICAM1
206,SSR2
207,TSC22D3
208,LGMN
209,GPX3
210,TPM2
211,LY6E
